Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P39014	MET30_YEAST	F-box protein MET30 (E3 ubiquitin ligase complex SCF(Met30) subunit MET30) (Methionine-requiring protein 30)	640	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	WD repeat MET30/SCONB/SCON-2 family			PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Domain (1); Modified residue (1); Mutagenesis (6); Region (4); Repeat (8); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.			
P13712	MSI1_YEAST	Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)	422	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	WD repeat RBAP46/RBAP48/MSI1 family						Chain (1); Repeat (6)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11238915}. Nucleus {ECO:0000269|PubMed:11238915}.			
P38994	MSS4_YEAST	Probable phosphatidylinositol 4-phosphate 5-kinase MSS4 (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase) (Diphosphoinositide kinase) (PIP5K)	779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Domain (1); Modified residue (5); Sequence conflict (1)				
P39552	MST28_YEAST	Multicopy suppressor of SEC21 protein 28 (DUP240 protein MST28)	234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	DUP/COS family						Chain (1); Modified residue (1); Region (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:12101299, ECO:0000269|PubMed:12925749}. Golgi apparatus {ECO:0000269|PubMed:12925749}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000269|PubMed:12925749}; Multi-pass membrane protein {ECO:0000269|PubMed:12925749}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:12925749}; Multi-pass membrane protein {ECO:0000269|PubMed:12925749}.		TOPO_DOM 1..47;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 69..72;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 94..234;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 48..68;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 73..93;  /note="Helical";  /evidence="ECO:0000255"
P46151	MTHR1_YEAST	Methylenetetrahydrofolate reductase 1 (EC 1.5.1.20)	657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Methylenetetrahydrofolate reductase family			PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.			Active site (1); Beta strand (9); Binding site (7); Chain (1); Helix (16); Modified residue (3); Nucleotide binding (4); Sequence conflict (4); Turn (1)				
P16603	NCPR_YEAST	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	691	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	NADPH--cytochrome P450 reductase family; Flavodoxin family; Flavoprotein pyridine nucleotide cytochrome reductase family						Beta strand (25); Binding site (7); Chain (1); Cross-link (1); Domain (2); Helix (28); Initiator methionine (1); Natural variant (1); Nucleotide binding (8); Sequence conflict (1); Topological domain (2); Transmembrane (1); Turn (8)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9468503}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}. Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:16407407}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}. Cell membrane {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000269|PubMed:9368374}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03212, ECO:0000305|PubMed:11485306, ECO:0000305|PubMed:9468503}.		TOPO_DOM 2..7;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 25..691;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 8..24;  /note="Helical";  /evidence="ECO:0000255"
P32505	NAB2_YEAST	Nuclear polyadenylated RNA-binding protein NAB2	525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	NAB2 family						Beta strand (10); Chain (1); Compositional bias (2); Helix (12); Natural variant (1); Region (2); Repeat (10); Turn (2); Zinc finger (7)	SUBCELLULAR LOCATION: Nucleus.			
Q07896	NOC3_YEAST	Nucleolar complex-associated protein 3	663	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	CBF/MAK21 family						Chain (1); Coiled coil (1); Modified residue (1)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11371346}.			
P38720	6PGD1_YEAST	6-phosphogluconate dehydrogenase, decarboxylating 1 (EC 1.1.1.44)	489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	6-phosphogluconate dehydrogenase family			PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 3/3.			Active site (2); Beta strand (12); Binding site (7); Chain (1); Helix (24); Modified residue (1); Nucleotide binding (3); Region (2); Turn (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
Q12471	6P22_YEAST	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)	397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV							Active site (2); Binding site (1); Chain (1); Cross-link (1); Nucleotide binding (1); Region (1)				
P53909	ADE_YEAST	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, Adenine deaminase type 2 subfamily		METAL 16;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_03145"; METAL 18;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_03145"; METAL 204;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_03145"; METAL 285;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_03145"		BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. {ECO:0000269|PubMed:18673302};	BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 30-37 degrees Celsius. {ECO:0000269|PubMed:18673302};	Active site (1); Binding site (1); Chain (1); Metal binding (4); Mutagenesis (5); Site (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03145, ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03145, ECO:0000269|PubMed:14562095}.			
P50082	AMA1_YEAST	Meiosis-specific APC/C activator protein AMA1 (Activator of meiotic APC/C protein 1) (Sporulation-specific protein 70)	593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	WD repeat CDC20/Fizzy family						Chain (1); Compositional bias (1); Erroneous gene model prediction (2); Frameshift (1); Motif (1); Repeat (6)				
Q12107	APC9_YEAST	Anaphase-promoting complex subunit 9	265	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII				PATHWAY: Protein modification; protein ubiquitination.			Chain (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
Q04212	ARA2_YEAST	D-arabinose 1-dehydrogenase (EC 1.1.1.116) (NAD(+)-specific D-arabinose dehydrogenase)	335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Aldo/keto reductase family, Aldo/keto reductase 2 subfamily						Active site (1); Binding site (1); Chain (1); Nucleotide binding (1); Site (1)				
P39722	GEM1_YEAST	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	662	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	Mitochondrial Rho GTPase family						Calcium binding (2); Chain (1); Domain (4); Mutagenesis (8); Nucleotide binding (6); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:15479738, ECO:0000269|PubMed:16407407, ECO:0000269|PubMed:16823961}; Single-pass type IV membrane protein {ECO:0000269|PubMed:15479738, ECO:0000269|PubMed:16407407, ECO:0000269|PubMed:16823961}.		TOPO_DOM 1..634;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 656..662;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000255"	TRANSMEM 635..655;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
P38263	GID4_YEAST	Vacuolar import and degradation protein 24 (Glucose-induced degradation protein 4)	362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	GID4/VID24 family						Beta strand (9); Chain (1); Cross-link (1); Helix (4); Modified residue (1); Site (3); Turn (2)	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:9508768}; Peripheral membrane protein {ECO:0000269|PubMed:9508768}. Note=Colocalizes with FBPase-containing vesicles. {ECO:0000269|PubMed:9508768}.			
P32642	GLRX4_YEAST	Monothiol glutaredoxin-4	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	Glutaredoxin family, Monothiol subfamily		METAL 171;  /note="Iron-sulfur (2Fe-2S); shared with dimeric partner";  /evidence="ECO:0000250"				Binding site (3); Chain (1); Domain (2); Metal binding (1); Region (1)				
P38682	GLO3_YEAST	ADP-ribosylation factor GTPase-activating protein GLO3 (ARF GAP GLO3)	493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V							Chain (1); Domain (1); Modified residue (4); Sequence conflict (2); Zinc finger (1)	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:14562095}.			
P40107	GMT1_YEAST	GDP-mannose transporter 1 (GMT 1) (Low dye-binding protein 3) (Morphogenesis checkpoint-dependent protein 3) (Vanadate resistance glycosylation protein 4)	337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	TPT transporter family, SLC35D subfamily						Beta strand (1); Chain (1); Glycosylation (4); Helix (13); Mutagenesis (9); Region (2); Topological domain (11); Transmembrane (10)	SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein. Cytoplasmic vesicle membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Note=Recycles between the Golgi apparatus and the endoplasmic reticulum.		TOPO_DOM 1..16;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 38..51;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 73..92;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 114..119;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 141..144;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 166..180;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 202..215;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 237..252;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 274..279;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 301..304;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 326..337;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 17..37;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 52..72;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 93..113;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 120..140;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 145..165;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 181..201;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 216..236;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 253..273;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 280..300;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 305..325;  /note="Helical";  /evidence="ECO:0000255"
P25333	HAL4_YEAST	Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4)	603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	Protein kinase superfamily, Ser/Thr protein kinase family						Active site (1); Binding site (1); Chain (1); Compositional bias (1); Domain (1); Nucleotide binding (1)				
P39996	GTT3_YEAST	Glutathione transferase 3	337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V							Chain (1); Modified residue (4); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.		TOPO_DOM 1..239;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 261..313;  /note="Perinuclear space";  /evidence="ECO:0000255"; TOPO_DOM 337;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 240..260;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 314..336;  /note="Helical";  /evidence="ECO:0000255"
P39982	HHY1_YEAST	Hypersensitivity to hygromycin-B protein 1	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V							Chain (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..17;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 39..69;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 91..102;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 18..38;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 70..90;  /note="Helical";  /evidence="ECO:0000255"
P36004	KKQ8_YEAST	Probable serine/threonine-protein kinase KKQ8 (EC 2.7.11.1)	724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NPR/HAL subfamily. HAL5 sub-subfamily						Active site (1); Binding site (1); Chain (1); Domain (1); Erroneous initiation (2); Modified residue (4); Nucleotide binding (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P40026	KRE29_YEAST	DNA repair protein KRE29 (Killer toxin-resistance protein 29)	464	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V							Beta strand (2); Chain (1); Modified residue (2); Turn (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.			
P42838	LEM3_YEAST	Alkylphosphocholine resistance protein LEM3 (Brefeldin-A sensitivity protein 3) (Ro-sensitive 3)	414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	CDC50/LEM3 family						Chain (1); Glycosylation (6); Modified residue (1); Transmembrane (2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.			TRANSMEM 75..95;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 373..393;  /note="Helical";  /evidence="ECO:0000255"
P47055	LOH1_YEAST	Outer spore wall protein 4 (Loss of heterozygosity protein 1)	219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	OSW4/6 family						Chain (1); Glycosylation (3); Signal peptide (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.		TOPO_DOM 20..170;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 192..193;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 215..219;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:16847258"	TRANSMEM 171..191;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 194..214;  /note="Helical";  /evidence="ECO:0000255"
P07866	LTE1_YEAST	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	1435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	LTE1 family						Chain (1); Domain (2); Modified residue (8); Sequence conflict (2)	SUBCELLULAR LOCATION: Cytoplasm. Bud. Note=The localization to the bud requires interaction with KEL1, as well as the presence of septins, CDC42, CLA4 and RAS2.			
Q06213	MED10_YEAST	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Negative regulator of URS2 protein 2)	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Mediator complex subunit 10 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P29469	MCM2_YEAST	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	MCM family						Chain (1); Domain (1); Modified residue (5); Motif (1); Mutagenesis (4); Natural variant (1); Nucleotide binding (1); Sequence conflict (8); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus.			
P40958	MAD2_YEAST	Mitotic spindle checkpoint component MAD2 (Mitotic MAD2 protein)	196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	MAD2 family						Chain (1); Domain (1)	SUBCELLULAR LOCATION: Nucleus.			
O14467	MBF1_YEAST	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	MBF1 family	DNA_BIND 96..115;  /note="H-T-H motif";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00257"					Chain (1); DNA binding (1); Domain (1); Frameshift (2); Modified residue (1); Mutagenesis (1); Region (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P38286	MKAR_YEAST	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Short-chain dehydrogenases/reductases (SDR) family			PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000269|PubMed:12087109}.			Active site (1); Binding site (1); Chain (1); Transmembrane (1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03107}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03107}.			TRANSMEM 20..40;  /note="Helical";  /evidence="ECO:0000255|HAMAP-Rule:MF_03107"
Q07980	MLH2_YEAST	DNA mismatch repair protein MLH2 (MutL protein homolog 2)	695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	DNA mismatch repair MutL/HexB family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
Q12117	MRH1_YEAST	Protein MRH1 (Membrane protein related to HSP30)	320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Archaeal/bacterial/fungal opsin family						Chain (1); Compositional bias (1); Modified residue (3); Topological domain (8); Transmembrane (7)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Mitochondrion. Bud. Note=Localized primarily to the plasma membrane. Also found at the buds.		TOPO_DOM 1..34;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 56..62;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 84..116;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 138..141;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 163..167;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 189..204;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 226..238;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 260..320;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 35..55;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 63..83;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 117..137;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 142..162;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 168..188;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 205..225;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 239..259;  /note="Helical";  /evidence="ECO:0000255"
